ID	Quadrant	Teilquadrant	Ortsnummer	Ortsbuchstaben	Ortsname	Kreis	Land	I	II	III	IV	comment	RES_1st_run	Ortsname_old	Stadt.oder.Gemeinde.oder.Landkreis	x	y	res	prev	x_new	y_new	cor
136	112	6	11	d	Neuendorf	Worbis	Pr. Sachsen	j	j	j	j	NA	detected			546254.058228555	5542944.37482475	detected		583004.10	5701022.15	false detected
174	112	14	17	cl	Krumbach	Kassel	Hessen-Nassau	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		537066.82	5681482.13	not found (all 3 entries donâ€™t lie in right quadrant)
242	112	31	17	ac	Kasdorf	Fritzlar-Homberg	Hessen-Nassau	j	j	j	j	NA	detected			413277.258752208	5562264.1022128	detected		525885.11	5652457.49	false detected
262	112	36	11	cr	Willershausen	Eschwege	Hessen-Nassau	NA	j	j	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	582733.52	5654537.57	corrupted
318	125	1	11	a	Holzhausen	Wittgenstein	Westfalen	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	438952.68	5620735.25	false detected 2nd
336	125	6	3	d	Neuenhain	Fritzlar-Homberg	Hessen-Nassau	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	517981.29	5648982.95	not found (maybe â€œNeuenhain (neuental)â€)
345	125	8	13	co	Buchenau	Biedenkopf	Hessen-Nassau	j	j	j	j	NA	detected			554128.544438824	5625808.30915998	detected		471673.92	5635961.93	false detected
358	125	11	21	cr	Allendorf	Marburg	Hessen-Nassau	NA	NA	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	501423.91	5630014.85	there are at least â€œAllendorf a.d. Lahnâ€ (bei GieÃŸen), â€œAllendorf (Lumda)â€ (Kreis GieÃŸen, nÃ¤her an Marburg), â€œAllendorf (Eder)â€ (Kreis Frankenberg)
409	125	22	10	bl	Homberg	Alsfeld	Hessen	j	j	j	j	NA	detected			436750.539965283	5610274.60179601	detected		500049.97	5619900.37	false detected
415	125	23	14	co	Ehringshausen	Alsfeld	Hessen	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	507986.44	5617170.75	not found
420	125	24	6	b	Zell	Alsfeld	Hessen	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		513815.16	5619804.36	not found
481	125	32	9	cu	Allendorf	Gießen	Hessen	j	NA	NA	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	999	999	there are at least â€œAllendorf a.d. Lahnâ€ (bei GieÃŸen), â€œAllendorf (Lumda)â€ (Kreis GieÃŸen, nÃ¤her an Marburg), â€œAllendorf (Eder)â€ (Kreis Frankenberg)
490	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999
506	125	35	8	b	Altenhain	Schotten	Hessen	j	j	j	NA	NA	multiple entires detected			999	999	multiple entires detected		507260.03	5601067.63	corrupted
542	126	7	21	do	Nausis	Ziegenhain	Hessen-Nassau	j	j	j	NA	NA	multiple entires detected			999	999	multiple entires detected		525546.84	5632096.03	not found (probably the one south of neukirchen, but thats not in wenker)
553	126	11	23	c	Dorndorf	Eisenach	Thüringen	j	NA	NA	NA	NA	detected			429278.420891055	5595245.23349305	detected		576748.11	5632034.95	false detected
569	126	15	11	cu	Holzheim	Hersfeld	Hessen-Nassau	j	j	j	NA	NA	detected			999	999	not an unique name	prev. not unique	547192.54	5625801.76	not found, probably â€œHolzheim (Haunetal)â€
603	126	23	24	co	Zella	Eisenach	Thüringen	NA	NA	j	j	NA	detected			517934.2735815	5635944.39356702	detected		578312.84	5613953.47	false detected
674	138	3	12	ad	Baumbach	Unterwesterwaldkreis	Hessen-Nassau	j	NA	NA	NA	NA	detected			546869.42107104	5652761.89193469	detected		406844.15	5593138.41	false detected
719	138	16	7	ac	Seelbach	Unterlahnkreis	Hessen-Nassau	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	419744.75	5573568.67	not found (prabably â€œSeelbach (Nassau)â€)
803	139	2	24	cr	Hausen	Friedberg	Hessen	NA	j	NA	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	471593.73	5585637.05	corrupted
850	139	9	18	bo	Rödgen	Friedberg	Hessen	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	483389.16	5579408.13	false detected 2nd
896	139	15	21	c	Holzhausen	Friedberg	Hessen	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	999	999	not found
908	139	17	1	ad	Stockheim	Büdingen	Hessen	NA	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		501266.82	5574571.86	corrupted
920	139	17	23	cl	Diebach	Büdingen	Hessen	j	j	j	j	NA	detected			559955.207881772	5553110.36407895	detected		505167.66	5567088.87	false detected
965	139	25	24	cl	Hofheim	Main-Taunuskreis	Hessen-Nassau	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	460167.71	5548139.05	not found (betw. Frankfurt, Wiesbaden)
967	139	26	11	bo	Sulzbach	Unterlahnkreis	Hessen-Nassau	NA	j	NA	NA	NA	detected			999	999	not an unique name	prev. not unique	411106.61	5572998.98	not found (Think this is a wrong data point as the former district â€œunterlahnâ€ has no intersection with quadrant 139)
990	139	31	21	ab	Hochheim	Main-Taunuskreis	Hessen-Nassau	j	j	j	j	NA	detected			451879.993419915	5499819.43691929	detected		453851.13	5540470.29	false detected
1113	151	11	25	au	Obernburg	BA. Obernburg	RegBez. Unterfranken (Bayern)	j	NA	NA	NA	NA	detected			493360.248964466	5675662.33821378	detected		509517.55	5520647.24	false detected
1124	151	14	7	d	Eich	Darmstadt	Hessen	j	NA	NA	NA	NA	detected			999	999	not an unique name	prev. not unique	468386.81	5516867.90	not found
1141	151	16	10	cu	Höchst	Erbach	Hessen	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		499549.72	5516325.56	not found (probably â€œHÃ¶chst im Odenwaldâ€, which is not in wenker)
1150	151	17	10	c	Erlenbach	BA. Obernburg	RegBez. Unterfranken (Bayern)	j	j	j	NA	NA	detected			999	999	not an unique name	prev. not unique	511420.43	5517315.14	not found, probably â€œErlenbach am Mainâ€ 
1169	151	21	2	ar	Allertshausen	Dieburg	Hessen	j	j	j	NA	NA	detected			999	999	not an unique name	prev. not unique	999	999	no such Wenker-place
1171	151	21	4	b	Steinau	Dieburg	Hessen	j	j	j	j	NA	detected			551954.705192337	5604701.35528724	detected		485189.39	5510509.61	false detected
1183	151	22	11	a	Reichelsheim	Friedberg	Hessen	NA	j	NA	NA	NA	not detected	Reichelsheim	Wetterau	99999	99999	not detected	NANA	491033.90	5578521.11	false detected 2nd
1193	151	24	1	a	Laudenbach	BA. Miltenberg	RegBez. Unterfranken (Bayern)	NA	NA	NA	j	NA	detected			556908.629371668	5675984.78859843	detected		512581.79	5510223.49	false detected
1221	151	28	21	cl	Hartenrod	Heppenheim	Hessen	j	j	j	j	NA	detected			462066.610560002	5623007.53591877	detected		488035.55	5492511.26	false detected
1226	151	29	14	cl	Breitenbach	BA. Miltenberg	RegBez. Unterfranken (Bayern)	NA	NA	j	j	NA	multiple entires detected			999	999	multiple entires detected		509901.99	5492282.15	false detected 2nd
1264	151	36	15	ad	Hainstadt	AB. Buchen	Baden	j	NA	NA	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	523973.81	5487281.35	not found (no Wenker-place, should be Hainstat (Buchen))
1266	151	36	20	c	Buchen	AB. Buchen	Baden	j	NA	NA	NA	NA	detected			428338.389599381	5643347.70462035	detected		523523.35	5485774.84	false detected
1269	Handschriftliche Ergänzungen:	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	not detected	NA		99999	99999	not detected	NANA	999	999	NANA
1271	138	33	8	du		NA	NA	NA	NA	NA	NA	NA	not detected	unklarer Ort		99999	99999	not detected	NANA	999	999	NANA
1248	151	33	12	du	Unter-Flockenbach	Heppenheim	Hessen	NA	j	j	j	NA	not detected	Unter-Flockenbach	Gorxheimertal	99999	99999	not detected	NANA	480609	5486499.94	f
220	112	25	12	ad	Lohre	Melsungen	Hessen-Nassau	NA	j	j	NA	NA	detected			527181.999979749	5663519.21835643	detected		527182	5663519218	
670	138	2	15	c	Grenzau	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	NA	NA	detected			404884.318029	5589690.08611163	detected		404884318	5589690086	
754	138	27	11	du	Niederburg	St. Goar	Rheinprovinz	j	j	NA	NA	NA	detected			406711.374988075	5552521.38643194	detected		406711375	5552521386	
695	138	9	12	ab	Eitelborn	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	detected			408931.157967407	5581399.46894132	detected		408931158	5581399469	
276	124	27	13	ao	Höchstenbach	Oberwesterwaldkreis	Hessen-Nassau	j	j	NA	NA	NA	detected			411087.798015517	5609635.13119298	detected		411087798	5609635131	
302	124	33	23	b	Vielbach	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	detected			412901.987030293	5595735.38510039	detected		412901987	5595735385	
673	138	3	4	cu	Siershahn	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	detected			413375.177983437	5593024.94572598	detected		413375178	5593024946	
278	124	27	19	b	Steinebach an der Wied	Oberwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	not detected	Steinebach		415284.249030945	5607107.63462251	detected		415284249	5607107635	
781	138	34	21	ar	Trechtingshausen	St. Goar	Rheinprovinz	j	NA	j	j	NA	detected			417516.135016208	5540455.29431702	detected		417516135	5540455294	
283	124	28	22	b	Bellingen	Oberwesterwaldkreis	Hessen-Nassau	j	j	j	NA	NA	detected			422542.687985705	5605015.7656732	detected		422542688	5605015766	
677	138	4	13	b	Steinefrenz	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	detected			424070.432966756	5590179.71797924	detected		424070433	5590179718	
287	124	29	8	a	Waigandshain	Oberwesterwaldkreis	Hessen-Nassau	NA	NA	NA	j	NA	detected			435130.035955641	5610761.50216421	detected		435130036	5610761502	
294	124	30	12	ac	Seilhofen	Dillkreis	Hessen-Nassau	j	j	j	NA	NA	detected			444007.307014861	5608401.58609736	detected		444007307	5608401586	
708	138	12	9	co	Langhecke	Oberlahnkreis	Hessen-Nassau	j	j	j	j	NA	detected			448831.073967954	5582063.86128548	detected		448831074	5582063861	
690	138	6	19	cr	Weinbach	Oberlahnkreis	Hessen-Nassau	NA	NA	j	j	NA	detected			449801.277979565	5587647.96992878	detected		449801278	5587647.97	
342	125	7	16	c	Mandeln	Dillkreis	Hessen-Nassau	j	j	j	j	NA	detected			453455.72798019	5633475.13493173	detected		453455728	5633475135	
340	125	7	1	bl	Banfe	Wittgenstein	Westfalen	j	j	j	NA	NA	detected			454496.086999746	5640527.67589594	detected		454496087	5640527676	
836	139	7	5	ac	Hasselborn	Wetzlar	Hessen-Nassau	j	j	j	j	NA	detected			463717.038961298	5584053.47913878	detected		463717039	5584053479	
889	139	14	6	b	Westerfeld	Usingen	Hessen-Nassau	NA	NA	j	NA	NA	detected			466201.588981394	5573617.99753669	detected		466201589	5573617998	
992	139	32	1	dr	Kelsterbach	Groß Gerau	Hessen	j	j	j	j	NA	detected			466473.979036214	5545562.54567726	detected		466473979	5545562546	
1240	151	32	13	cu	Viernheim	Heppenheim	Hessen	j	j	j	j	NA	not detected	Biernheim		469402.844968959	5487395.87241487	detected		469402845	5487395872	
1203	151	26	25	a	Hemsbach	AB. Weinheim	Baden	NA	NA	NA	j	NA	detected			474495.327045588	5493328.81029511	detected		474495327	5493328.81	
801	139	2	15	a	Pohl-Göns	Friedberg	Hessen	j	j	j	j	NA	not detected	Pohlgöns		475228.776026655	5590069.33111327	detected		475228776	5590069331	
370	125	14	25	co	Willershausen	Marburg	Hessen-Nassau	NA	j	NA	NA	NA	multiple entires detected			999	999	not an unique name	prev. not unique	475545741	5622938077	found
1204	151	27	6	c	Erbach	Heppenheim	Hessen	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		476259572	5498468409	found
324	125	2	20	ar	Niederasphe	Marburg	Hessen-Nassau	j	j	j	j	NA	detected			476449.411023509	5643328.51172753	detected		476449411	5643328512	
849	139	9	11	do	Ober-Mörlen	Friedberg	Hessen	j	j	j	j	NA	not detected	Ober Mörlen		478204.431007864	5580137.66948133	detected		478204431	5580137669	
401	125	21	7	b	Roth	Marburg	Hessen-Nassau	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		480808136	5619224226	found
814	139	3	23	cu	Oppershofen	Friedberg	Hessen	j	j	j	j	NA	detected			481457.076952376	5584995.53538458	detected		481457077	5584995535	
937	139	21	8	a	Kloppenheim	Friedberg	Hessen	j	j	j	NA	NA	multiple entires detected			999	999	multiple entires detected		481891379	5564434644	found
1178	151	21	19	c	Lindenfels	Bensheim	Hessen	j	j	j	j	NA	detected			484007.943974921	5503665.46411588	detected		484007944	5503665464	
970	139	27	14	bo	Rumpenheim	Offenbach	Hessen	j	NA	NA	NA	NA	detected			485598.216958738	5553159.89010216	detected		485598217	5553159.89	
1095	151	9	24	b	Georgenhausen	Dieburg	Hessen	j	NA	NA	NA	NA	detected			485641.685014713	5521249.67747095	detected		485641685	5521249677	
50	111	21	24	dl	Rhadern	des Eisenbergs	Hessen-Nassau	j	j	j	j	NA	detected			485681.696038079	5668694.13798155	detected		485681696	5668694138	
895	139	15	15	ao	Assenheim	Friedberg	Hessen	j	j	j	j	NA	detected			486809.013957662	5571591.9386704	detected		486809014	5571591939	
847	139	9	5	cu	Wölfersheim	Friedberg	Hessen	NA	NA	j	j	NA	detected			486979.687004842	5583055.39513357	detected		486979687	5583055395	
51	111	21	25	cr	Fürstenberg	des Eisenbergs	Hessen-Nassau	j	j	j	j	NA	detected			488212.184025479	5668520.90322038	detected		488212184	5668520903	
1138	151	16	1	co	Ueberau	Dieburg	Hessen	j	j	j	j	NA	detected			488973.543041414	5519151.61430403	detected		488973543	5519151614	
816	139	4	1	ad	Langsdorf	Gießen	Hessen	j	j	j	j	NA	detected			489679.092037136	5593268.11666937	detected		489679092	5593268117	
379	125	16	21	b	Wittelsberg	Marburg	Hessen-Nassau	j	j	j	j	NA	detected			489773.05395979	5623168.79564211	detected		489773054	5623168796	
901	139	16	16	dr	Erbstadt	Hanau	Hessen-Nassau	j	NA	NA	NA	NA	detected			490329.232010952	5568593.33268391	detected		490329232	5568593333	
945	139	22	1	d	Heldenbergen	Friedberg	Hessen	j	j	j	j	NA	detected			490372.792979099	5565101.89488006	detected		490372793	5565101895	
72	111	28	11	bo	Ederbringhausen	Frankenberg	Hessen-Nassau	j	j	j	j	NA	detected			490630.430992414	5664212.2205094	detected		490630431	5664212221	
71	111	28	2	co	Buchenberg	Frankenberg	Hessen-Nassau	j	NA	NA	NA	NA	detected			491027.813998224	5667380.90668182	detected		491027814	5667380907	
375	125	16	2	a	Niederwald	Marburg	Hessen-Nassau	j	j	j	j	NA	detected			491443.003984118	5630760.75570467	detected		491443004	5630760756	
499	125	34	12	dr	Ober-Bessingen	Gießen	Hessen	j	j	j	NA	NA	not detected	Ober Bessingen		493168.654011313	5598421.8661784	detected		493168654	5598421866	
503	125	34	23	dr	Villingen	Gießen	Hessen	j	j	j	j	NA	detected			495220.506029148	5594872.49070839	detected		495220506	5594872491	
1142	151	16	13	do	Hassenroth	Erbach	Hessen	j	j	j	j	NA	detected			495314.231010826	5515339.9907396	detected		495314231	5515339991	
904	139	16	19	ac	Oberau	Büdingen	Hessen	j	j	j	j	NA	detected			496479.83800099	5569141.64146715	detected		496479838	5569141641	
93	111	34	24	c	Grüsen	Frankenberg	Hessen-Nassau	j	j	j	j	NA	detected			496526.71695424	5649992.85983575	detected		496526717	5649992.86	
408	125	22	4	c	Haarhausen	Alsfeld	Hessen	j	NA	NA	NA	NA	multiple entires detected			999	999	multiple entires detected		496563663	5620891444	found
1071	151	4	14	a	Babenhausen	Dieburg	Hessen	j	j	j	j	NA	detected			496715.081982783	5534440.06325597	detected		496715082	5534440063	
1256	151	34	19	b	Gammelsbach	Erbach	Hessen	j	j	NA	NA	NA	detected			497495.964018021	5485798.54630474	detected		497495964	5485798546	
998	139	34	4	bu	Klein-Krotzenburg	Offenbach	Hessen	j	j	j	j	NA	not detected	Klein Krotzenburg		497817.601954135	5547081.2313443	detected		497817602	5547081231	
949	139	22	25	cl	Langendiebach	Hanau	Hessen-Nassau	j	j	NA	NA	NA	detected			498478.664985607	5556776.49857525	detected		498478665	5556776499	
73	111	28	20	au	Frebershausen	der Eder	Hessen-Nassau	j	j	NA	j	NA	detected			498746.931039166	5662035.33061796	detected		498746931	5662035331	
16	111	5	6	au	Rhoden	der Twiste	Hessen-Nassau	j	j	j	j	NA	not detected	Rhoden-Walbeck		500715.347010395	5702615.52579065	detected		500715347	5702615526	
1225	151	29	6	ab	Erlenbach	Erbach	Hessen	j	j	j	j	NA	detected			999	999	not an unique name	prev. not unique	500887968	5499228174	found
1107	151	11	11	cu	Dorndiel	Dieburg	Hessen	j	NA	NA	NA	NA	detected			501106.732958552	5523754.49317188	detected		501106733	5523754493	
505	125	35	1	ao	Weickartshain	Gießen	Hessen	j	j	j	j	NA	detected			501408.893015968	5603310.21319365	detected		501408893	5603310213	
97	111	35	16	bo	Battenhausen	Frankenberg	Hessen-Nassau	j	j	j	j	NA	detected			502047.591014131	5653261.49966033	detected		502047591	5653261.5	
39	111	11	17	cu	Braunsen	der Twiste	Hessen-Nassau	j	j	j	j	NA	detected			502660.226999877	5688814.80055214	detected		502660227	5688814801	
909	139	17	2	ar	Bleichenbach	Büdingen	Hessen	j	j	j	j	NA	detected			503423.655020922	5575134.74155525	detected		503423655	5575134742	
332	125	5	7	cu	Moischeid	Ziegenhain	Hessen-Nassau	j	j	j	j	NA	detected			503454.83703283	5646089.60423165	detected		503454837	5646089604	
914	139	17	12	dr	Orleshausen	Büdingen	Hessen	j	j	j	j	NA	detected			504830.11102294	5570465.83331076	detected		504830111	5570465833	
1224	151	29	3	cl	Würzberg	Erbach	Hessen	j	j	j	NA	NA	detected			505817.775000507	5500109.52444825	detected		505817775	5500109524	
418	125	23	23	d	Hainbach	Alsfeld	Hessen	j	j	j	j	NA	detected			507010.187966413	5613055.54040475	detected		507010188	5613055.54	
40	111	11	19	do	Viesebeck	Wolfhagen	Hessen-Nassau	NA	j	j	j	NA	detected			509281.381038412	5689678.86215849	detected		509281381	5689678862	
468	125	29	25	co	Ober-Seibertenrod	Schotten	Hessen	j	NA	NA	NA	NA	not detected	Ober Seibertenrod		511375.483970646	5604178.55739307	detected		511375484	5604178557	
512	125	36	16	co	Rudingshain	Schotten	Hessen	NA	j	j	NA	NA	detected			512341.382001285	5596786.21975597	detected		512341382	5596786.22	
876	139	12	6	du	Wenings	Büdingen	Hessen	j	j	NA	j	NA	detected			513983.895960194	5581501.15800521	detected		513983896	5581501158	
1196	151	24	13	dl	Miltenberg	BA. Miltenberg	RegBez. Unterfranken (Bayern)	j	j	j	j	NA	detected			518495.893955499	5505552.36817307	detected		518495894	5505552368	
391	125	18	19	dl	Eudorf	Alsfeld	Hessen	NA	j	j	NA	NA	detected			520612.627955112	5624077.97425757	detected		520612628	5624077974	
65	111	24	24	dl	Wehren	Fritzlar-Homberg	Hessen-Nassau	j	j	j	NA	NA	detected			520631.8929753	5668615.50662564	detected		520631893	5668615507	
101	112	1	4	a	Hombressen	Hofgeismar	Hessen-Nassau	j	NA	NA	NA	NA	detected			531614.223010492	5704926.93424316	detected		531614223	5704926934	
147	112	8	16	d	Ihringshausen	Kassel	Hessen-Nassau	j	j	j	j	NA	detected			536637.441957189	5688912.11163106	detected		536637442	5688912112	
145	112	8	12	b	Speele	Münden	Hannover	j	j	j	j	NA	detected			539162.9459576	5691967.04655685	detected		539162946	5691967047	
566	126	14	7	d	Hattenbach	Hersfeld	Hessen-Nassau	j	j	j	NA	NA	detected			539481.05895611	5628212.28541421	detected		539481059	5628212285	
200	112	20	3	cl	Wellerode	Kassel	Hessen-Nassau	j	j	j	j	NA	detected			539706.153991387	5676656.91287568	detected		539706154	5676656913	
653	126	33	7	a	Petersberg	Fulda	Hessen-Nassau	j	j	j	j	NA	detected			550467.815955099	5601050.46856903	detected		550467816	5601050469	
1021	140	3	7	bl	Welkers	Fulda	Hessen-Nassau	j	j	NA	NA	NA	detected			551104.785997723	5592349.39952627	detected		551104786	5592349.4	
621	126	27	12	cd	Marbach	Fulda	Hessen-Nassau	NA	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		551232038	5607663428	found
107	112	3	4	au	Bördel	Münden	Hannover	j	j	j	j	NA	detected			554843.373004879	5704368.18486669	detected		554843373	5704368185	
594	126	21	14	d	Kirchhasel	Hünfeld	Hessen-Nassau	j	j	j	j	NA	detected			556608.931018545	5616826.66413521	detected		556608931	5616826664	
118	112	4	10	cu	Reinhausen	Göttingen	Hannover	j	j	j	j	NA	detected			568398.727967849	5702263.41916819	detected		568398728	5702263419	
122	112	5	1	ao	Klein Lengden	Göttingen	Hannover	j	j	j	j	NA	detected			569841.315039325	5705475.3247718	detected		569841315	5705475325	
528	126	5	8	c	Gerstungen	Eisenach	Thüringen	j	j	NA	j	NA	detected			574866.081020911	5646273.64228993	detected		574866081	5646273642	
116	112	4	6	dl	Volkerode	Göttingen	Hannover	j	j	j	j	NA	detected			575109.947986188	5679066.42579233	detected		575109948	5679066426	
632	126	29	19	ac	Kaltenwestheim	Eisenach	Thüringen	j	j	j	j	NA	detected			579019.39498841	5607063.20675321	detected		579019395	5607063207	
554	126	11	24	au	Kieselbach	Eisenach	Thüringen	j	j	j	j	NA	detected			579111.14603615	5633179.0134634	detected		579111146	5633179013	
140	112	6	22	cr	Steinbach	Worbis	Pr. Sachsen	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	584647927	5696912613	found
539	126	6	23	b	Wolfsburg-Unkeroda	Eisenach	Thüringen	j	j	j	j	NA	detected			589117.563000262	5643440.42482994	detected		589117563	5643440425	
217	112	24	15	ar	Eigenrieden	Mühlhausen	Pr. Sachsen	j	j	j	NA	NA	detected			592543.235957529	5674145.62535337	detected		592543236	5674145625	
666	138	2	6	au	Oberbieber	Neuwied	Rheinprovinz	j	j	j	NA	NA	not detected	Oberbieber	Neuwied	99999	99999	not detected	NANA	393469.62	5592302.94	f
668	138	2	11	bl	Gladbach	Neuwied	Rheinprovinz	j	j	j	j	NA	not detected	Gladbach	Neuwied	99999	99999	not detected	NANA	395251.35	5590637.24	f
672	138	2	22	ac	Engers	Neuwied	Rheinprovinz	j	j	j	j	NA	not detected	Engers	Neuwied	99999	99999	not detected	NANA	396651.84	5586990.92	f
671	138	2	17	a	Heimbach-Weis	Neuwied	Rheinprovinz	NA	NA	j	j	NA	not detected	Heimbach-Weis	Neuwied	99999	99999	not detected	NANA	396685.69	5589593.55	f
667	138	2	8	ab	Isenburg	Neuwied	Rheinprovinz	j	NA	j	j	NA	not detected	Isenburg	Neuwied	99999	99999	not detected	NANA	400150.85	5592580.36	f
274	124	27	6	al	Lautzert	Neuwied	Rheinprovinz	j	j	NA	NA	NA	not detected	Lautzert	Oberdreis	99999	99999	not detected	NANA	405566.78	5611070.86	f
712	138	15	6	a	Frücht	St. Goarshausen	Hessen-Nassau	NA	NA	j	NA	NA	detected			405851.645534822	5574201.7968519	detected		405851.6455	5574201797	
692	138	9	6	co	Simmern	Unterwesterwaldkreis	Hessen-Nassau	j	NA	NA	NA	NA	detected			405963.132577634	5582875.05290322	detected		405963.1326	5582875053	
756	138	27	16	cr	Damscheid	St. Goar	Rheinprovinz	j	j	NA	NA	NA	detected			406004.93425503	5550576.38038223	detected		406004.9343	5550576.38	
779	138	33	21	bu	Dichtelbach	Simmern	Rheinprovinz	j	j	j	j	NA	detected			406291.73143594	5540395.19733178	detected		406291.7314	5540395197	
737	138	21	21	do	Wellmich	St. Goarshausen	Hessen-Nassau	j	j	j	NA	NA	not detected	Wellmich	Sankt Goarshausen	99999	99999	not detected	NANA	406640.92	5558506.29	f
772	138	33	1	do	Perscheid	St. Goar	Rheinprovinz	j	j	j	NA	NA	detected			406642.116649222	5547328.84403579	detected		406642.1166	5547328844	
299	124	33	11	ad	Brückrachdorf	Neuwied	Rheinprovinz	j	j	j	NA	NA	detected			406645.370495711	5599690.98106411	detected		406645.3705	5599690981	
277	124	27	16	c	Roßbach	Oberwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	not detected	Roßbach	Westerwald	99999	99999	not detected	NANA	406700.3	5606754.84	f
735	138	21	11	b	Dahlheim	St. Goarshausen	Hessen-Nassau	NA	NA	j	NA	NA	detected			406793.514360823	5562929.8268065	detected		406793.5144	5562929827	
753	138	27	7	al	Biebernheim	St. Goar	Rheinprovinz	j	j	j	j	NA	detected			407527.769545323	5555888.13047701	detected		407527.7695	5555888.13	
750	138	27	2	cu	Sankt Goar	St. Goar	Rheinprovinz	j	j	NA	NA	NA	not detected	St. Goar	Rhein-Hunsrück	99999	99999	not detected	NANA	407555.09	5555909.47	f
759	138	27	22	ao	Engehöll	St. Goar	Rheinprovinz	j	j	j	NA	NA	not detected	Engehöll	Oberwesel	99999	99999	not detected	NANA	407859.19	5550073.57	f
693	138	9	7	cu	Neuhäusel	Unterwesterwaldkreis	Hessen-Nassau	NA	j	j	j	NA	detected			408549.725725341	5582373.66535993	detected		408549.7257	5582373665	
757	138	27	17	ad	Oberwesel	St. Goar	Rheinprovinz	j	j	j	j	NA	detected			408557.706466293	5551766.53852804	detected		408557.7065	5551766539	
715	138	15	12	ab	Becheln	St. Goarshausen	Hessen-Nassau	j	j	j	j	NA	detected			408726.338279607	5571982.75779289	detected		408726.3383	5571982758	
300	124	33	12	d	Krümmel	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	detected			409480.922327787	5598896.20354404	detected		409480.9223	5598896204	
751	138	27	2	do	Patersberg	St. Goarshausen	Hessen-Nassau	j	j	j	NA	NA	detected			409573.180012977	5556820.61262049	detected		409573.18	5556820613	
1270	138	33	3	al	Langscheid	NA	Rheinprovinz	NA	NA	NA	NA	NA	not detected	Langscheid	Oberwesel	409883.463847974	5548107.31817988	detected		409883.4638	5548107318	
773	138	33	8	c	Steeg	St. Goar	Rheinprovinz	j	j	j	j	NA	detected			410071.152414751	5545223.75023875	detected		410071.1524	5545223.75	
306	124	34	23	ad	Herschbach	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	detected			410789.326861785	5603311.6077014	detected		410789.3269	5603311608	
298	124	33	8	a	Rückeroth	Unterwesterwaldkreis	Hessen-Nassau	j	j	j	j	NA	detected			411041.860310892	5601494.4012552	detected		411041.8603	5601494401	
716	138	15	18	ao	Schweighausen	Unterlahnkreis	Hessen-Nassau	j	NA	NA	NA	NA	detected			411076.600022208	5570652.7226646	detected		411076.6	5570652723	
758	138	27	18	cd	Dörscheid	St. Goarshausen	Hessen-Nassau	NA	NA	j	j	NA	detected			411149.344120534	5551066.61856135	detected		411149.3441	5551066619	
713	138	15	8	c	Sulzbach	Unterlahnkreis	Hessen-Nassau	NA	NA	j	j	NA	detected			999	999	not an unique name	prev. not unique	411151.9005	5573020374	found
776	138	33	18	bo	Manubach	St. Goar	Rheinprovinz	j	j	j	j	NA	detected			411206.06288714	5542847.10882179	detected		411206.0629	5542847109	
711	138	15	3	bl	Dausenau	Unterlahnkreis	Hessen-Nassau	NA	NA	NA	j	NA	detected			411861.901907373	5575877.91371176	detected		411861.9019	5575877914	
733	138	21	3	b	Niederbachheim	St. Goarshausen	Hessen-Nassau	j	j	j	j	NA	not detected	Niederbachheim	Rhein-Lahn	99999	99999	not detected	NANA	411926.05	5566956.43	f
669	138	2	13	bd	Stromberg	Unterwesterwaldkreis	Hessen-Nassau	j	j	NA	NA	NA	detected			411927.125523651	5533093.20791927	detected		411927.1255	5533093208	
