ID	Quadrant	Teilquadrant	Ortsnummer	Ortsbuchstaben	Ortsname	Kreis	Land	I	II	III	IV	comment	RES_1st_run	Ortsname_old	Stadt.oder.Gemeinde.oder.Landkreis	x	y	res	prev	x_new	y_new	cor
489	125	33	9	dl	Albach	Gießen	Hessen	j	j	j	j	NA	detected			485407.364076936	5600405.8405584	detected		485407.3641	5600405841	
1282	111	15	14	co	Rhena	des Eisenbergs	Hessen-Nassau	j	j	j	j	NA	not detected	Rhena	Korbach	99999	99999	not detected	NANA	485464.18	5682007.87	f
897	139	15	24	bd	Burg-Gräfenrode	Friedberg	Hessen	j	j	j	j	NA	detected			485522.798787033	5567459.00224609	detected		485522.7988	5567459002	
807	139	3	9	bo	Muschenheim	Gießen	Hessen	j	NA	NA	NA	NA	detected			485562.602864941	5592432.7110274	detected		485562.6029	5592432711	
848	139	9	9	br	Södel	Friedberg	Hessen	j	j	j	j	NA	detected			486047.299811426	5582546.28727789	detected		486047.2998	5582546287	
1136	151	15	19	do	Lichtenberg	Dieburg	Hessen	j	j	NA	NA	NA	detected			486052.781688572	5513388.065199	detected		486052.7817	5513388065	
446	125	27	24	du	Oppenrod	Gießen	Hessen	j	j	j	NA	NA	detected			486060.313124367	5603539.80053628	detected		486060.3131	5603539801	
969	139	27	4	dr	Bischofsheim	Hanau	Hessen-Nassau	j	j	j	j	NA	multiple entires detected			999	999	not an unique name	prev. not unique	486132.9853	5555415588	found
854	139	9	24	dr	Bauernheim	Friedberg	Hessen	j	j	j	j	NA	detected			486144.671249429	5576297.02541937	detected		486144.6712	5576297025	
88	111	33	9	b	Frankenberg	Frankenberg	Hessen-Nassau	j	j	j	j	NA	not detected	Frankenberg	Eder	99999	99999	not detected	NANA	486289.65	5656194.75	f
1250	151	33	14	bo	Siedelsbrunn	Heppenheim	Hessen	j	j	j	j	NA	not detected	Siedelsbrunn	Wald-Michelbach	99999	99999	not detected	NANA	486299.01	5488545.47	f
29	111	9	19	b	Adorf	des Eisenbergs	Hessen-Nassau	j	j	j	j	NA	detected			486381.464718692	5689933.24984368	detected		486381.4647	5689933.25	
47	111	21	14	d	Goddelsheim	des Eisenbergs	Hessen-Nassau	j	j	j	NA	NA	detected			486557.70222437	5672161.46124883	detected		486557.7022	5672161461	
1215	151	27	25	co	Gadern	Heppenheim	Hessen	j	j	NA	j	NA	detected			486584.859819875	5492674.07386371	detected		486584.8598	5492674074	
374	125	15	24	bd	Beltershausen	Marburg	Hessen-Nassau	j	j	j	j	NA	detected			486662.284214386	5623031.26057252	detected		486662.2842	5623031261	
403	125	21	10	ao	Ebsdorf	Marburg	Hessen-Nassau	j	j	j	j	NA	detected			486683.350796099	5620228.97882927	detected		486683.3508	5620228979	
805	139	3	5	al	Birklar	Gießen	Hessen	j	j	j	j	NA	detected			486749.880084153	5593419.2232068	detected		486749.8801	5593419223	
437	125	27	5	au	Climbach	Gießen	Hessen	j	j	j	j	NA	detected			487156.905735397	5611899.02381665	detected		487156.9057	5611899024	
487	125	33	5	ao	Burkhardsfelden	Gießen	Hessen	j	j	j	j	NA	detected			487163.20420915	5602914.28899982	detected		487163.2042	5602914289	
1174	151	21	15	c	Klein-Gumpen	Erbach	Hessen	j	j	j	j	NA	detected			487236.878893745	5505591.41725153	detected		487236.8789	5505591417	
1244	151	33	5	cr	Wald-Michelbach	Heppenheim	Hessen	NA	j	j	j	NA	not detected	Waldmichelbach		487260.776141655	5491171.55938683	detected		487260.7761	5491171559	
350	125	9	25	bo	Ginseldorf	Marburg	Hessen-Nassau	j	j	j	j	NA	detected			487298.003213456	5632081.3941788	detected		487298.0032	5632081394	
1131	151	15	10	cu	Groß-Bieberau	Dieburg	Hessen	j	j	j	j	NA	not detected	Groß-Bieberau	Darmstadt-Dieburg	99999	99999	not detected	NANA	487317.75	5516462.02	f
1212	151	27	20	a	Ober-Scharbach	Heppenheim	Hessen	j	j	NA	NA	NA	not detected	Ober Scharbach		487365.361190283	5495729.58280584	detected		487365.3612	5495729583	
944	139	21	20	a	Oberdorfelden	Hanau	Hessen-Nassau	NA	NA	j	j	NA	detected			487402.580401333	5560571.58145301	detected		487402.5804	5560571581	
441	125	27	15	ar	Beuern	Gießen	Hessen	j	j	j	j	NA	multiple entires detected			999	999	multiple entires detected		487466.7091	5608440032	found
493	125	33	20	c	Lich	Gießen	Hessen	j	j	j	j	NA	detected			487473.836129703	5596586.50514106	detected		487473.8361	5596586505	
