,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt.oder.Gemeinde.oder.Landkreis,x,y,res,Cor.Kammers
1286,111,16,9,d,Ober Waroldern,der Twiste,Hessen-Nassau,j,NA,NA,NA,NA,not detected,Ober-Waroldern,Twistetal,497783.35,5683609.41,not detected,f
1287,111,16,24,cl,Meineringhausen,des Eisenbergs,Hessen-Nassau,,j,j,j,NA,not detected,Meineringhausen,Korbach,495577.04,5678376.66,not detected,f
1288,111,17,2,bd,Volkhardinghausen,der Twiste,Hessen-Nassau,j,j,j,j,NA,not detected,Volkhardinghausen,Bad Arolsen,503898.95,5685976.29,not detected,f
1289,111,17,3,du,Bühle,der Twiste,Hessen-Nassau,NA,j,NA,NA,NA,not detected,Bühle,Bad Arolsen,507606.30,5685225.28,not detected,f
1290,111,17,6,au,Nieder Waroldern,der Twiste,Hessen-Nassau,NA,j,j,j,NA,not detected,Nieder-Waroldern,Twistetal,500631.77,5683992.47,not detected,f
1291,111,17,17,b,Freienhagen,der Eder,Hessen-Nassau,j,j,j,j,NA,not detected,Freienhagen,Waldeck,504427.43,5680734.97,not detected,f
1292,111,17,19,br,Ippinghausen,Wolfhagen,Hessen-Nassau,NA,j,NA,NA,NA,not detected,Ippinghausen,Wolfhagen,510074.59,5681213.25,not detected,f
1293,111,18,1,a,Wolfhagen,Wolfhagen,Hessen-Nassau,NA,j,j,j,NA,not detected,Wolfhagen,Kassel,511920.37,5686144.21,not detected,f
1294,111,18,3,br,Burghasungen,Wolfhagen,Hessen-Nassau,NA,NA,j,NA,NA,not detected,Burghasungen,Zierenberg,519354.68,5685795.97,not detected,f
1295,111,18,7,d,Istha,Wolfhagen,Hessen-Nassau,j,j,j,j,NA,not detected,Istha,Wolfhagen,516022.96,5683710.03,not detected,f
1296,111,18,17,dr,Balhorn,Wolfhagen,Hessen-Nassau,j,NA,NA,NA,NA,not detected,Balhorn,Bad Emstal,516687.02,5680178.00,not detected,f
1297,111,18,25,al,Elmshagen,Kassel,Hessen-Nassau,j,NA,NA,NA,NA,not detected,Elmshagen,Schauenburg,522422.20,5678957.42,not detected,f
