,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt.oder.Gemeinde.oder.Landkreis,x,y,res,Cor.Kammers
388,125,18,8,au,Heidelbach,Alsfeld,Hessen,j,j,j,j,NA,not detected,Heidelbach,Alsfeld,518131.60,5628449.77,not detected,f
398,125,20,8,dr,Rollshausen,Marburg,Hessen-Nassau,NA,j,j,NA,NA,not detected,Rollshausen,Lohra,472150.15,5618496.50,not detected,f
407,125,21,25,a,Allendorf,Gießen,Hessen,j,j,j,j,NA,not detected,Allendorf,Lumda,487490.75,5614008.40,not detected,f
411,125,22,19,b,Schadenbach,Alsfeld,Hessen,j,j,j,NA,NA,not detected,Schadenbach,Homberg,497952.33,5616033.75,not detected,f
416,125,23,16,al,Büßfeld,Alsfeld,Hessen,j,NA,NA,NA,NA,not detected,Büßfeld,Homberg,500062.69,5615957.60,not detected,f
423,125,24,18,cl,Strebendorf,Alsfeld,Hessen,j,j,j,j,NA,not detected,Strebendorf,Romrod,517154.01,5615031.96,not detected,f
438,125,27,6,c,Wißmar,Wetzlar,Hessen-Nassau,NA,j,j,j,NA,not detected,Wißmar,Wettenberg,477041.38,5609393.83,not detected,f
443,125,27,18,au,Trohe,Gießen,Hessen,j,j,j,j,NA,not detected,Trohe,Buseck,482585.77,5606465.47,not detected,f
445,125,27,19,co,Großen-Buseck,Gießen,Hessen,j,j,j,j,NA,not detected,Großen-Buseck,Buseck,484812.08,5605975.92,not detected,f
485,125,32,20,a,Großen-Linden,Gießen,Hessen,j,j,NA,NA,NA,not detected,Linden,Gießen,475496.17,5597271.46,not detected,f
517,126,1,17,c,Großropperhausen,Ziegenhain,Hessen-Nassau,NA,NA,j,NA,NA,not detected,Großropperhausen,Frielendorf,525993.45,5643093.09,not detected,f
519,126,2,1,br,Nenterode,Rotenburg,Hessen-Nassau,j,NA,NA,NA,NA,not detected,Nenterode,Knüllwald,537419.02,5649030.99,not detected,f
525,126,4,4,d,Süß,Rotenburg,Hessen-Nassau,NA,NA,j,j,NA,not detected,Süß,Nentershausen,568242.44,5649008.27,not detected,f
530,126,5,17,do,Berka,Eisenach,Thüringen,NA,NA,NA,j,NA,not detected,Berka,Werra-Suhl-Tal,575465.41,5643822.91,not detected,f
544,126,8,18,co,Goßmannsrode,Hersfeld,Hessen-Nassau,j,j,j,j,NA,not detected,Goßmannsrode,Kirchheim,540854.81,5634229.81,not detected,f
545,126,9,11,b,Kalkobes,Hersfeld,Hessen-Nassau,NA,j,j,j,NA,not detected,Kalkobes,Bad Hersfeld,548014.47,5636760.92,not detected,f
552,126,11,21,au,Philippsthal,Hersfeld,Hessen-Nassau,j,j,j,j,NA,not detected,Philippsthal,Hersfeld-Rotenburg,570417.59,5632708.71,not detected,f
558,126,12,13,ar,Kupfersuhl,Eisenach,Thüringen,j,j,j,j,NA,not detected,Kupfersuhl,Bad Salzungen,588315.97,5637161.54,not detected,f
565,126,13,25,cu,Wallersdorf,Alsfeld,Hessen,NA,j,j,NA,NA,not detected,Wallersdorf,Grebenau,534321.34,5622244.33,not detected,f
578,126,18,1,c,Kaiseroda,Eisenach,Thüringen,j,j,j,j,NA,not detected,Kaiseroda,Leimbach,583190.56,5630534.77,not detected,f
582,126,18,12,d,Kaltenborn,Meiningen,Thüringen,j,j,j,j,NA,not detected,Kaltenborn,Bad Salzungen,586737.57,5626602.67,not detected,f
596,126,22,1,bu,Großentaft,Hünfeld,Hessen-Nassau,j,j,j,j,NA,not detected,Großentaft,Eiterfeld,560635.11,5621571.35,not detected,f
599,126,23,1,do,Otzbach,Eisenach,Thüringen,j,j,j,j,NA,not detected,Otzbach,Geisa,572480.07,5621395.11,not detected,f
600,126,23,2,b,Oechsen,Eisenach,Thüringen,j,j,j,j,NA,not detected,Oechsen,Dermbach,575142.42,5621948.57,not detected,f
601,126,23,11,cd,Zitters,Eisenach,Thüringen,j,j,j,j,NA,not detected,Zitters,Schleid,571774.57,5616970.18,not detected,f
604,126,24,1,c,Urnshausen,Eisenach,Thüringen,j,j,j,j,NA,not detected,Urnshausen,Dermbach,582840.26,5620967.06,not detected,f
611,126,25,6,co,Sickendorf,Lauterbach,Hessen,j,j,NA,j,NA,not detected,Sickendorf,Lauterbach,524400.49,5609531.11,not detected,f
612,126,25,7,d,Lauterbach,Lauterbach,Hessen,NA,j,NA,NA,NA,not detected,Lauterbach,Vogelsbergkreis,528006.58,5609135.96,not detected,f
613,126,25,12,d,Blitzenrod,Lauterbach,Hessen,j,j,j,j,NA,not detected,Blitzenrod,Lauterbach,527885.22,5607823.50,not detected,f
619,126,26,22,c,Großenlüder,Fulda,Hessen-Nassau,NA,NA,j,j,NA,not detected,Großenlüder,Fulda,538292.06,5604323.33,not detected,f
623,126,28,6,bo,Mittelaschenbach,Hünfeld,Hessen-Nassau,NA,NA,NA,j,NA,not detected,Mittelaschenbach,Nüsttal,560684.47,5610837.71,not detected,f
629,126,29,9,a,Klings,Eisenach,Thüringen,j,j,j,j,NA,not detected,Klings,Kaltennordheim,578761.53,5611414.22,not detected,f
648,126,31,23,b,Zahmen,Lauterbach,Hessen,j,j,j,j,NA,not detected,Zahmen,Grebenhain,530730.05,5595766.46,not detected,f
654,126,33,12,ar,Bachrain,Fulda,Hessen-Nassau,j,j,j,j,NA,not detected,Bachrain,Künzell,550204.93,5598721.42,not detected,f
656,126,34,11,d,Wolferts,Fulda,Hessen-Nassau,NA,NA,j,NA,NA,not detected,Wolferts,Dipperz,561072.66,5598737.23,not detected,f
666,138,2,6,au,Oberbieber,Neuwied,Rheinprovinz,j,j,j,NA,NA,not detected,Oberbieber,Neuwied,393469.62,5592302.94,not detected,f
667,138,2,8,ab,Isenburg,Neuwied,Rheinprovinz,j,NA,j,j,NA,not detected,Isenburg,Neuwied,400150.85,5592580.36,not detected,f
668,138,2,11,bl,Gladbach,Neuwied,Rheinprovinz,j,j,j,j,NA,not detected,Gladbach,Neuwied,395251.35,5590637.24,not detected,f
671,138,2,17,a,Heimbach-Weis,Neuwied,Rheinprovinz,NA,NA,j,j,NA,not detected,Heimbach-Weis,Neuwied,396685.69,5589593.55,not detected,f
672,138,2,22,ac,Engers,Neuwied,Rheinprovinz,j,j,j,j,NA,not detected,Engers,Neuwied,396651.84,5586990.92,not detected,f
679,138,4,17,br,Kleinholbach,Unterwesterwaldkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Kleinholbach,Girod,422231.37,5588730.07,not detected,f
704,138,11,6,cl,Aull,Unterlahnkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Aull,Rhein-Lahn,429287.99,5582089.02,not detected,f
723,138,16,18,b,Herold,Unterlahnkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Herold,Rhein-Lahn,423928.24,5570012.75,not detected,f
724,138,16,19,bd,Klingelbach,Unterlahnkreis,Hessen-Nassau,j,j,j,j,NA,not detected,Klingelbach,Rhein-Lahn,426637.87,5569774.62,not detected,f
733,138,21,3,b,Niederbachheim,St. Goarshausen,Hessen-Nassau,j,j,j,j,NA,not detected,Niederbachheim,Rhein-Lahn,411926.05,5566956.43,not detected,f
737,138,21,21,do,Wellmich,St. Goarshausen,Hessen-Nassau,j,j,j,NA,NA,not detected,Wellmich,Sankt Goarshausen,406640.92,5558506.29,not detected,f
750,138,27,2,cu,Sankt Goar,St. Goar,Rheinprovinz,j,j,NA,NA,NA,not detected,St. Goar,Rhein-Hunsrück,407555.09,5555909.47,not detected,f
759,138,27,22,ao,Engehöll,St. Goar,Rheinprovinz,j,j,j,NA,NA,not detected,Engehöll,Oberwesel,407859.19,5550073.57,not detected,f
769,138,30,13,dr,Wiesbaden-Rambach,Wiesbaden,Hessen-Nassau,j,j,j,j,NA,not detected,Rambach,Wiesbaden,448097.07,5551737.14,not detected,f
770,138,30,19,b,Wiesbaden-Heßloch,Wiesbaden,Hessen-Nassau,j,j,j,NA,NA,not detected,Heßloch,Wiesbaden,449617.35,5551173.72,not detected,f
775,138,33,14,co,Rheindiebach,St. Goar,Rheinprovinz,j,j,NA,NA,NA,not detected,Rheindiebach,Oberdiebach,413334.33,5543959.54,not detected,f
810,139,3,14,ar,Trais,Friedberg,Hessen,j,j,j,j,NA,not detected,Trais-Münzenberg,Münzenberg,484998.53,5590214.82,not detected,f
819,139,4,9,c,Langd,Gießen,Hessen,j,j,j,j,NA,not detected,Landgd,Hungen,496373.89,5591002.63,not detected,f
823,139,4,23,a,Unter-Widdersheim,Büdingen,Hessen,j,j,j,j,NA,not detected,Unter-Widdersheim,Nidda,494142.22,5586385.50,not detected,f
831,139,6,7,dl,Kaulstoß,Schotten,Hessen,j,j,j,j,NA,not detected,Kaulstoß,Schotten,515873.53,5590945.37,not detected,f
844,139,8,24,au,Friedrichsthal,Usingen,Hessen-Nassau,j,j,j,j,NA,not detected,Friedrichsthal,Wehrheim,472727.67,5576655.04,not detected,f
852,139,9,23,cd,Friedberg,Friedberg,Hessen,j,j,j,j,NA,not detected,Friedberg,Wetterau,482284.74,5575447.08,not detected,f
855,139,10,4,d,Geiß-Nidda,Büdingen,Hessen,j,j,j,j,NA,not detected,Geiß-Nidda,Nidda,497790.35,5583661.15,not detected,f
861,139,10,17,c,Reichelsheim,Friedberg,Hessen,j,NA,j,j,NA,not detected,Reichelsheim,Wetterau,491033.91,5578521.11,not detected,f
878,139,12,13,br,Böß-Gesäß,Büdingen,Hessen,j,NA,NA,NA,NA,not detected,Bös-Gesäß,Birstein,519070.87,5580528.61,not detected,f
884,139,12,25,cr,Untersotzbach,Gelnhausen,Hessen-Nassau,j,j,j,j,NA,not detected,Untersotzbach,Birstein,523020.37,5576323.51,not detected,f
890,139,14,11,ac,Neu-Anspach,Usingen,Hessen-Nassau,j,j,j,j,NA,not detected,Anspach,Neu-Anspach,465092.48,5571440.08,not detected,f
903,139,16,18,du,Höchst an der Nidder,Büdingen,Hessen,j,j,j,j,NA,not detected,Höchst,Altenstadt,465092.48,5571440.08,not detected,f
