"","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","x","y","res"
"393","125",18,22,"a","Angenrod","Alsfeld","Hessen","j","j","j","j",NA,514556.936054106,5623390.35924719,"detected"
"394","125",18,22,"b","Leusel","Alsfeld","Hessen","j","j","j","j",NA,516300.08233512,5623039.67375894,"detected"
"395","125",19,16,"du","Ballersbach","Dillkreis","Hessen-Nassau","j","j",NA,NA,NA,455295.924335482,5614876.44532139,"detected"
"396","125",19,18,"ao","Offenbach","Dillkreis","Hessen-Nassau","j","j","j","j",NA,458615.192821218,5616506.07006533,"detected"
"397","125",20,4,"d","Lohra","Marburg","Hessen-Nassau","j","j",NA,NA,NA,473974.853100748,5620521.488119,"detected"
"399","125",20,14,"a","Altenvers","Marburg","Hessen-Nassau","j","j","j","j",NA,473134.243226803,5617612.28091436,"detected"
"400","125",20,16,"br","Wilsbach","Biedenkopf","Hessen-Nassau","j","j","j",NA,NA,466926.932252312,5616369.05045641,"detected"
"402","125",21,9,"cr","Hachborn","Marburg","Hessen-Nassau","j","j","j","j",NA,485204.240721912,5618754.00916318,"detected"
"403","125",21,10,"ao","Ebsdorf","Marburg","Hessen-Nassau","j","j","j","j",NA,486683.350796099,5620228.97882927,"detected"
"404","125",21,11,"al","Oberwalgern","Marburg","Hessen-Nassau","j","j","j","j",NA,476149.689757879,5617719.97200223,"detected"
"405","125",21,11,"d","Fronhausen","Marburg","Hessen-Nassau","j","j","j",NA,NA,478448.514540281,5617009.42930922,"detected"
"410","125",22,14,"ao","Deckenbach","Alsfeld","Hessen","j","j","j","j",NA,496293.613156151,5618189.50288396,"detected"
"412","125",22,22,"cl","Kesselbach","Gießen","Hessen","j","j","j","j",NA,491060.597545238,5613058.4795479,"detected"
"413","125",23,2,"a","Appenrod","Alsfeld","Hessen","j",NA,NA,NA,NA,503132.509621201,5621580.686285,"detected"
"414","125",23,5,"ad","Heimertshausen","Alsfeld","Hessen",NA,"j","j","j",NA,511282.130156556,5621191.62041721,"detected"
"415","125",23,14,"co","Ehringshausen","Alsfeld","Hessen","j","j","j","j",NA,456335.533136612,5605671.1443571,"detected"
"418","125",23,23,"d","Hainbach","Alsfeld","Hessen","j","j","j","j",NA,507010.187966413,5613055.54040475,"detected"
"419","125",24,1,"b","Billertshausen","Alsfeld","Hessen","j","j","j","j",NA,514152.669167101,5621621.17092189,"detected"
"421","125",24,14,"cd","Hopfgarten","Alsfeld","Hessen","j","j","j","j",NA,520945.094477894,5616784.56554351,"detected"
"424","125",24,20,"b","Hergersdorf","Alsfeld","Hessen","j","j","j","j",NA,522674.998773804,5615212.74628686,"detected"
"425","125",25,2,"du","Dreisbach","Wetzlar","Hessen-Nassau","j","j","j","j",NA,457116.664775444,5611180.36314385,"detected"
"426","125",25,14,"au","Bechlingen","Wetzlar","Hessen-Nassau","j","j","j","j",NA,460949.860833756,5608514.89410455,"detected"
"427","125",25,16,"dl","Daubhausen","Wetzlar","Hessen-Nassau","j",NA,NA,NA,NA,454081.913403644,5606135.1957955,"detected"
"428","125",25,17,"cd","Ehringshausen","Wetzlar","Hessen-Nassau",NA,NA,"j",NA,NA,456335.533136612,5605671.1443571,"detected"
"429","125",26,1,"cr","Hohensolms","Wetzlar","Hessen-Nassau",NA,NA,"j","j",NA,465882.16828103,5611026.97133054,"detected"
"431","125",26,14,"d","Krofdorf","Wetzlar","Hessen-Nassau","j","j","j","j",NA,475650.701161092,5609104.3110184,"detected"
"432","125",26,22,"cr","Waldgirmes","Wetzlar","Hessen-Nassau","j","j","j","j",NA,468201.285434711,5604062.38547894,"detected"
"433","125",27,2,"a","Ruttershausen","Gießen","Hessen","j","j","j","j",NA,479538.422484502,5612212.36766806,"detected"
"434","125",27,2,"b","Staufenberg","Gießen","Hessen","j","j","j","j",NA,481001.032292555,5612084.53789486,"detected"
"435","125",27,3,"au","Mainzlar","Gießen","Hessen","j","j","j","j",NA,481686.517320594,5612048.73603313,"detected"
"436","125",27,3,"cu","Daubringen","Gießen","Hessen","j","j","j","j",NA,481456.637379086,5611004.28068903,"detected"
"437","125",27,5,"au","Climbach","Gießen","Hessen","j","j","j","j",NA,487156.905735397,5611899.02381665,"detected"
"439","125",27,7,"al","Lollar","Gießen","Hessen","j","j","j","j",NA,479044.554544023,5610668.65976483,"detected"
"442","125",27,17,"c","Wieseck","Gießen","Hessen","j","j","j","j",NA,479429.138736761,5605974.57769192,"detected"
"446","125",27,24,"du","Oppenrod","Gießen","Hessen","j","j","j",NA,NA,486060.313124367,5603539.80053628,"detected"
"447","125",28,1,"au","Allertshausen","Gießen","Hessen","j","j",NA,NA,NA,489248.914905021,5611794.23295235,"detected"
"449","125",28,4,"ao","Weitershain","Gießen","Hessen","j","j","j","j",NA,497441.69979087,5612751.23841768,"detected"
"450","125",28,7,"bo","Geilshausen","Gießen","Hessen","j",NA,NA,NA,NA,492625.7930637,5610487.38054459,"detected"
"451","125",28,9,"cu","Lumda","Gießen","Hessen","j","j","j","j",NA,496188.213547082,5609171.45349357,"detected"
"452","125",28,11,"cd","Bersrod","Gießen","Hessen","j","j","j","j",NA,489536.712287172,5607245.68450138,"detected"
"453","125",28,13,"d","Beltershain","Gießen","Hessen","j","j",NA,NA,NA,495670.564902165,5607481.66587559,"detected"
"454","125",28,14,"d","Stangenrod","Gießen","Hessen","j","j","j","j",NA,497594.651112804,5607246.91770698,"detected"
"455","125",28,20,"a","Lehnheim","Alsfeld","Hessen","j",NA,NA,NA,NA,499129.715270344,5606557.0207304,"detected"
"456","125",28,21,"bl","Lindenstruth","Gießen","Hessen","j","j","j","j",NA,489722.455577466,5604554.36039258,"detected"
"457","125",28,22,"a","Saasen","Gießen","Hessen","j","j",NA,NA,NA,491464.089754424,5604795.87081843,"detected"
"458","125",28,23,"ar","Göbelnrod","Gießen","Hessen","j","j","j","j",NA,494472.511635336,5605103.18939396,"detected"
"459","125",29,3,"ao","Elpenrod","Alsfeld","Hessen","j","j","j","j",NA,505787.891175238,5612831.65112387,"detected"
"460","125",29,4,"dr","Ermenrod","Alsfeld","Hessen","j","j","j","j",NA,509797.970469508,5611191.89643076,"detected"
"462","125",29,11,"bu","Merlau","Alsfeld","Hessen","j","j","j","j",NA,501916.883398982,5608125.16897853,"detected"
"463","125",29,12,"bo","Wettsaasen","Alsfeld","Hessen","j",NA,NA,NA,NA,504476.854565003,5608816.14960534,"detected"
"464","125",29,16,"bu","Flensungen","Alsfeld","Hessen","j","j","j","j",NA,501867.928190224,5606557.28112463,"detected"
"467","125",29,22,"cu","Lardenbach","Schotten","Hessen","j","j","j","j",NA,503369.822703021,5603611.33421878,"detected"
"469","125",30,1,"du","Windhausen","Alsfeld","Hessen","j",NA,NA,NA,NA,514110.295542748,5611168.37928363,"detected"
"470","125",30,3,"bo","Vadenrod","Alsfeld","Hessen","j","j","j","j",NA,519407.307546281,5612519.7099114,"detected"
"471","125",30,3,"do","Storndorf","Alsfeld","Hessen","j","j","j","j",NA,518456.569101228,5611559.96557158,"detected"
"472","125",30,5,"ao","Wallenrod","Lauterbach","Hessen","j","j","j","j",NA,523118.072431712,5612456.94099759,"detected"
"473","125",30,11,"cu","Stumpertenrod","Schotten","Hessen","j","j","j",NA,NA,512876.424163385,5606961.94221311,"detected"
"474","125",30,15,"ao","Allmenrod","Lauterbach","Hessen","j","j","j","j",NA,523241.591874351,5608509.92972957,"detected"
"475","125",30,17,"bd","Helpershain","Schotten","Hessen","j","j","j",NA,NA,516090.976298048,5606147.96016186,"detected"
"476","125",30,19,"do","Dirlammen","Lauterbach","Hessen","j","j","j","j",NA,521348.395319252,5606188.95973487,"detected"
"477","125",30,25,"co","Hopfmannsfeld","Lauterbach","Hessen","j","j","j","j",NA,522192.063314233,5604135.30264754,"detected"
"478","125",31,13,"c","Burgsolms","Wetzlar","Hessen-Nassau","j","j","j","j",NA,457929.259277787,5598763.62921379,"detected"
"479","125",31,19,"dl","Laufdorf","Wetzlar","Hessen-Nassau","j","j","j",NA,NA,461531.343118077,5596145.09152494,"detected"
"480","125",32,3,"ar","Atzbach","Wetzlar","Hessen-Nassau","j","j","j","j",NA,470622.954942905,5602902.92876031,"detected"
"483","125",32,14,"c","Lützellinden","Wetzlar","Hessen-Nassau","j","j","j","j",NA,473348.032816681,5598518.32239834,"detected"
"484","125",32,18,"cu","Kleinrechtenbach","Wetzlar","Hessen-Nassau",NA,NA,"j",NA,NA,470762.763620194,5596208.02989122,"detected"
"486","125",33,3,"a","Annerod","Gießen","Hessen","j","j","j","j",NA,482574.619154171,5602782.95422738,"detected"
"487","125",33,5,"ao","Burkhardsfelden","Gießen","Hessen","j","j","j","j",NA,487163.20420915,5602914.28899982,"detected"
"489","125",33,9,"dl","Albach","Gießen","Hessen","j","j","j","j",NA,485407.364076936,5600405.8405584,"detected"
"491","125",33,13,"c","Garbenteich","Gießen","Hessen","j","j","j","j",NA,482269.652524086,5598436.19766621,"detected"
"492","125",33,16,"au","Leihgestern","Gießen","Hessen","j","j","j",NA,NA,477106.356411723,5597455.37044288,"detected"
"493","125",33,20,"c","Lich","Gießen","Hessen","j","j","j","j",NA,487473.836129703,5596586.50514106,"detected"
"494","125",33,23,"cu","Dorf-Güll","Gießen","Hessen","j","j","j","j",NA,482732.189776649,5594698.48658885,"detected"
"495","125",34,2,"bl","Harbach","Gießen","Hessen","j","j","j","j",NA,492083.773906067,5602693.29430086,"detected"
"496","125",34,4,"d","Lauter","Gießen","Hessen","j","j",NA,"j",NA,497606.402863152,5601987.3413296,"detected"
"497","125",34,7,"bu","Ettingshausen","Gießen","Hessen","j","j","j","j",NA,493256.830077593,5600868.04852639,"detected"
"500","125",34,13,"d","Röthges","Gießen","Hessen","j","j","j","j",NA,494826.633536833,5598164.22541422,"detected"
"501","125",34,14,"ao","Wetterfeld","Schotten","Hessen","j","j","j","j",NA,496960.526196252,5599485.78004456,"detected"
"503","125",34,23,"dr","Villingen","Gießen","Hessen","j","j","j","j",NA,495220.506029148,5594872.49070839,"detected"
"504","125",34,24,"bo","Ruppertsburg","Schotten","Hessen","j","j","j","j",NA,497064.977943796,5596216.59222996,"detected"
"505","125",35,1,"ao","Weickartshain","Gießen","Hessen","j","j","j","j",NA,501408.893015968,5603310.21319365,"detected"
"507","125",35,19,"cu","Betzenrod","Schotten","Hessen","j","j","j",NA,NA,508840.698898185,5596112.00455562,"detected"
"508","125",35,19,"du","Götzen","Schotten","Hessen","j","j","j","j",NA,510102.365140816,5596258.82845631,"detected"
"509","125",36,1,"b","Ulrichstein","Schotten","Hessen","j",NA,NA,NA,NA,513630.292530043,5602727.25484809,"detected"
"510","125",36,4,"cl","Eichelhain","Lauterbach","Hessen","j",NA,NA,NA,NA,519694.174443889,5601990.35443516,"detected"
"511","125",36,14,"b","Lanzenhain","Lauterbach","Hessen","j","j","j","j",NA,521717.864893888,5598973.77663551,"detected"
"512","125",36,16,"co","Rudingshain","Schotten","Hessen",NA,"j","j",NA,NA,512341.382001285,5596786.21975597,"detected"
"513","125",36,21,"cu","Busenborn","Schotten","Hessen","j","j","j","j",NA,512829.859950898,5594140.94815582,"detected"
"514","125",36,22,"au","Breungeshain","Schotten","Hessen","j","j","j","j",NA,514621.724595004,5595035.17815817,"detected"
"515","126",1,1,"b","Wernswig","Fritzlar-Homberg","Hessen-Nassau",NA,NA,"j",NA,NA,525403.270771844,5649498.03835609,"detected"
"516","126",1,9,"d","Völkershain","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,533449.551735424,5646708.01515111,"detected"
"518","126",1,19,"b","Hülsa","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,532329.377642187,5643931.85703349,"detected"
"520","126",2,14,"bo","Beenhausen","Rotenburg","Hessen-Nassau",NA,NA,NA,"j",NA,544239.724393482,5646143.93658524,"detected"
"522","126",3,7,"a","Mündershausen","Rotenburg","Hessen-Nassau",NA,NA,"j","j",NA,549947.401787283,5647786.16194559,"detected"
"523","126",3,14,"dr","Weiterode","Rotenburg","Hessen-Nassau",NA,NA,"j","j",NA,557018.004733421,5645167.82368326,"detected"
"524","126",3,24,"d","Meckbach","Hersfeld","Hessen-Nassau","j",NA,NA,NA,NA,555649.699395612,5641104.78557565,"detected"
"529","126",5,17,"ao","Obersuhl","Rotenburg","Hessen-Nassau","j","j","j","j",NA,572288.475409193,5644757.78781451,"detected"
"540","126",7,12,"b","Christerode","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,527663.941153108,5636142.76832237,"detected"
"541","126",7,20,"c","Wahlshausen","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,534272.972672351,5633646.67937147,"detected"
"543","126",8,3,"d","Obergeis","Hersfeld","Hessen-Nassau",NA,NA,"j",NA,NA,542055.457875031,5639241.92883348,"detected"
"546","126",9,23,"cu","Rotensee","Hersfeld","Hessen-Nassau","j","j","j","j",NA,552040.190932752,5631592.17252673,"detected"
"548","126",10,11,"b","Friedewald","Hersfeld","Hessen-Nassau","j","j","j",NA,NA,560148.533207767,5636884.36686179,"detected"
"549","126",10,21,"d","Hilmes","Hersfeld","Hessen-Nassau",NA,"j","j","j",NA,560823.121081529,5632143.39435349,"detected"
"550","126",11,1,"a","Widdershausen","Hersfeld","Hessen-Nassau","j","j","j","j",NA,571299.321063014,5640050.60498838,"detected"
"553","126",11,23,"c","Dorndorf","Eisenach","Thüringen","j",NA,NA,NA,NA,429278.420891055,5595245.23349305,"detected"
"561","126",13,8,"b","Görzhain","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,530034.800306677,5628860.95811028,"detected"
"563","126",13,16,"bu","Berfa","Ziegenhain","Hessen-Nassau","j","j","j","j",NA,525405.995113847,5624488.32414687,"detected"
"564","126",13,22,"br","Lingelbach","Ziegenhain","Hessen-Nassau","j","j","j",NA,NA,528381.135270431,5623302.68338048,"detected"
"566","126",14,7,"d","Hattenbach","Hersfeld","Hessen-Nassau","j","j","j",NA,NA,539481.05895611,5628212.28541421,"detected"
"567","126",14,24,"bd","Wetzlos","Hünfeld","Hessen-Nassau",NA,NA,"j","j",NA,544457.107934962,5623136.88422216,"detected"
"568","126",15,8,"al","Eitra","Hersfeld","Hessen-Nassau","j","j","j","j",NA,551979.332771322,5629222.79930135,"detected"
"569","126",15,11,"cu","Holzheim","Hersfeld","Hessen-Nassau","j","j","j",NA,NA,480065.642612911,5592795.34520861,"detected"
"571","126",15,23,"d","Körnbach","Hünfeld","Hessen-Nassau","j","j","j","j",NA,554026.033716827,5622771.23241739,"detected"
"573","126",16,11,"ao","Unterweisenborn","Hersfeld","Hessen-Nassau","j","j","j","j",NA,558796.664293425,5627627.13034604,"detected"
"574","126",16,22,"bo","Soisdorf","Hünfeld","Hessen-Nassau","j","j","j","j",NA,563133.572721929,5623952.23438701,"detected"
"579","126",18,6,"b","Leimbach","Meiningen","Thüringen","j",NA,NA,NA,NA,555704.08394804,5622199.46413157,"detected"
"586","126",19,24,"bo","Willofs","Lauterbach","Hessen","j",NA,NA,NA,NA,533573.070641848,5614392.84736831,"detected"
"589","126",20,9,"d","Langenschwarz","Hünfeld","Hessen-Nassau","j",NA,NA,NA,NA,544635.135240159,5618812.50786267,"detected"
"590","126",20,18,"b","Sandlofs","Lauterbach","Hessen","j","j",NA,"j",NA,542150.124462174,5616189.69167907,"detected"
"591","126",20,18,"cu","Hutzdorf","Lauterbach","Hessen","j","j","j","j",NA,541597.491689914,5614628.41474863,"detected"
"592","126",20,22,"do","Schlitz","Lauterbach","Hessen","j","j","j","j",NA,539775.159713891,5613635.65733452,"detected"
"593","126",20,24,"au","Fraurombach","Lauterbach","Hessen","j","j",NA,NA,NA,543497.496583296,5613843.1968579,"detected"
"594","126",21,14,"d","Kirchhasel","Hünfeld","Hessen-Nassau","j","j","j","j",NA,556608.931018545,5616826.66413521,"detected"
"595","126",21,17,"dr","Hünhan","Hünfeld","Hessen-Nassau","j","j",NA,NA,NA,551988.695947109,5615533.16168076,"detected"
"598","126",22,21,"bo","Haselstein","Hünfeld","Hessen-Nassau","j",NA,NA,NA,NA,560357.361281379,5614544.2996258,"detected"
"602","126",23,22,"cl","Theobaldshof","Fulda","Hessen-Nassau",NA,"j","j","j",NA,573351.482431651,5613587.05502802,"detected"
"603","126",23,24,"co","Zella","Eisenach","Thüringen",NA,NA,"j","j",NA,517934.2735815,5635944.39356702,"detected"
"605","126",24,6,"bo","Bernshausen","Eisenach","Thüringen","j","j","j","j",NA,537951.842931813,5611709.43942623,"detected"
"609","126",25,2,"bl","Maar","Lauterbach","Hessen","j",NA,NA,NA,NA,527374.898267939,5612066.02851019,"detected"
"610","126",25,6,"b","Heblos","Lauterbach","Hessen","j",NA,NA,NA,NA,525495.666100929,5610421.91112641,"detected"
"614","126",25,14,"a","Angersbach","Lauterbach","Hessen","j","j","j","j",NA,531481.707802746,5608519.57935278,"detected"
"615","126",25,20,"al","Landenhausen","Lauterbach","Hessen","j",NA,NA,NA,NA,533787.158652475,5606387.76534992,"detected"
"616","126",26,5,"ar","Michelsrombach","Hünfeld","Hessen-Nassau",NA,"j",NA,NA,NA,546932.699323248,5612160.32154548,"detected"
"617","126",26,11,"al","Bad Salzschlirf","Fulda","Hessen-Nassau","j","j","j","j",NA,535912.172659681,5608136.61500399,"detected"
"618","126",26,13,"ao","Hartershausen","Lauterbach","Hessen","j","j","j","j",NA,541279.768892621,5609221.43247842,"detected"
"620","126",27,10,"c","Silges","Hünfeld","Hessen-Nassau",NA,"j",NA,NA,NA,557456.986135112,5609696.32084133,"detected"
"622","126",28,4,"bu","Neuswarts","Fulda","Hessen-Nassau",NA,"j",NA,"j",NA,568574.68211196,5612432.39934124,"detected"
"625","126",28,21,"c","Hofbieber","Fulda","Hessen-Nassau",NA,NA,"j",NA,NA,559332.292117356,5603967.75236186,"detected"
"626","126",28,25,"al","Neuschwambach","Fulda","Hessen-Nassau",NA,"j","j","j",NA,569412.460079056,5605214.59636474,"detected"
"628","126",29,6,"b","Tann","Fulda","Hessen-Nassau",NA,NA,"j",NA,NA,549280.100280077,5641173.82361109,"detected"
"638","126",30,4,"ao","Schwarzbach","Meiningen","Thüringen","j","j","j","j",NA,563706.9766799,5606376.66291258,"detected"
"641","126",31,2,"a","Rixfeld","Lauterbach","Hessen",NA,"j","j","j",NA,527308.963490439,5603002.96548974,"detected"
"642","126",31,3,"c","Schadges","Lauterbach","Hessen","j","j","j","j",NA,529559.563645349,5601925.40573284,"detected"
"643","126",31,6,"a","Herbstein","Lauterbach","Hessen",NA,"j","j","j",NA,524676.402832032,5601199.65393556,"detected"
"645","126",31,15,"ad","Hainzell","Fulda","Hessen-Nassau","j","j",NA,NA,NA,534927.302260779,5598800.29040379,"detected"
"646","126",31,21,"du","Vaitshain","Lauterbach","Hessen","j",NA,NA,NA,NA,525348.012843622,5594108.48609342,"detected"
"647","126",31,23,"ao","Heisters","Lauterbach","Hessen","j",NA,NA,NA,NA,529516.470888899,5595720.31993478,"detected"
"649","126",31,25,"cl","Hosenfeld","Fulda","Hessen-Nassau","j","j","j","j",NA,533996.538528083,5594791.04405719,"detected"
"650","126",32,6,"cu","Kleinlüder","Fulda","Hessen-Nassau",NA,NA,NA,"j",NA,536594.114213169,5599601.1424816,"detected"
"651","126",32,10,"bl","Horas","Fulda","Hessen-Nassau","j","j","j","j",NA,546608.669230084,5601682.03823727,"detected"
"652","126",32,20,"ad","Johannesberg","Fulda","Hessen-Nassau","j",NA,NA,NA,NA,546799.145419942,5596990.98878724,"detected"
"653","126",33,7,"a","Petersberg","Fulda","Hessen-Nassau","j","j","j","j",NA,550467.815955099,5601050.46856903,"detected"
"655","126",33,24,"do","Dietershausen","Fulda","Hessen-Nassau","j","j","j","j",NA,556424.633536199,5595172.67864295,"detected"
"657","126",34,16,"c","Dörmbach","Fulda","Hessen-Nassau","j",NA,NA,NA,NA,565288.18114843,5601580.70074789,"detected"
"658","126",34,18,"b","Dietges","Fulda","Hessen-Nassau","j",NA,NA,NA,NA,565937.32085246,5597829.91776021,"detected"
"659","126",35,1,"cl","Hilders","Fulda","Hessen-Nassau","j","j",NA,"j",NA,570925.943083155,5602699.18105156,"detected"
"660","126",35,11,"au","Thaiden","Fulda","Hessen-Nassau","j","j","j","j",NA,571903.544918181,5599576.27363583,"detected"
"663","126",35,21,"c","Wüstensachsen","Fulda","Hessen-Nassau","j","j","j","j",NA,571245.553426962,5594785.21058903,"detected"
"674","138",3,12,"ad","Baumbach","Unterwesterwaldkreis","Hessen-Nassau","j",NA,NA,NA,NA,546869.42107104,5652761.89193469,"detected"
"681","138",5,1,"c","Thalheim","Limburg","Hessen-Nassau","j","j","j","j",NA,429876.390660587,5593279.92657494,"detected"
"682","138",5,5,"cr","Heckholzhausen","Oberlahnkreis","Hessen-Nassau","j","j","j",NA,NA,440190.828128138,5593152.72645039,"detected"
"684","138",5,14,"ad","Obertiefenbach","Oberlahnkreis","Hessen-Nassau","j",NA,NA,NA,NA,437904.098141323,5589954.19140345,"detected"
"685","138",5,18,"c","Ahlbach","Limburg","Hessen-Nassau","j","j","j",NA,NA,434886.262151968,5587599.63037694,"detected"
"686","138",5,25,"au","Hofen","Oberlahnkreis","Hessen-Nassau","j","j","j","j",NA,440148.74246235,5586314.0717133,"detected"
"687","138",6,8,"al","Odersbach","Oberlahnkreis","Hessen-Nassau","j","j","j",NA,NA,446501.087166182,5592061.79306533,"detected"
"688","138",6,15,"al","Edelsberg","Oberlahnkreis","Hessen-Nassau","j","j","j","j",NA,451386.906623305,5590168.51232476,"detected"
"689","138",6,18,"cu","Falkenbach","Oberlahnkreis","Hessen-Nassau","j","j",NA,NA,NA,446509.039617516,5587246.62322121,"detected"
"690","138",6,19,"cr","Weinbach","Oberlahnkreis","Hessen-Nassau",NA,NA,"j","j",NA,449801.277979565,5587647.96992878,"detected"
"691","138",6,22,"du","Seelbach","Oberlahnkreis","Hessen-Nassau","j","j","j","j",NA,445150.236779652,5584980.91077311,"detected"
"700","138",10,13,"ab","Hirschberg","Unterlahnkreis","Hessen-Nassau","j",NA,NA,NA,NA,448421.314722577,5611258.77327858,"detected"
"703","138",11,2,"al","Elz","Limburg","Hessen-Nassau","j",NA,NA,NA,NA,431475.738152143,5584762.51156537,"detected"
"706","138",11,13,"cd","Linter","Limburg","Hessen-Nassau",NA,NA,"j","j",NA,435268.54367666,5579955.04900637,"detected"
"707","138",11,17,"c","Holzheim","Unterlahnkreis","Hessen-Nassau","j","j","j","j",NA,480065.642612911,5592795.34520861,"detected"
"708","138",12,9,"co","Langhecke","Oberlahnkreis","Hessen-Nassau","j","j","j","j",NA,448831.073967954,5582063.86128548,"detected"
"709","138",12,12,"dl","Weyer","Oberlahnkreis","Hessen-Nassau","j","j","j","j",NA,444838.452546993,5579613.08712367,"detected"
"710","138",12,16,"d","Oberbrechen","Limburg","Hessen-Nassau","j","j","j",NA,NA,442761.414435593,5578289.59961624,"detected"
"719","138",16,7,"ac","Seelbach","Unterlahnkreis","Hessen-Nassau","j","j","j","j",NA,445150.236779652,5584980.91077311,"detected"
"727","138",17,5,"ao","Neesbach","Limburg","Hessen-Nassau","j","j","j","j",NA,439678.560162918,5575599.35312501,"detected"
"729","138",17,20,"cu","Ketternschwalbach","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,439610.434884152,5568360.84809125,"detected"
"730","138",18,9,"ab","Schwickershausen","Limburg","Hessen-Nassau","j","j","j",NA,NA,450010.628616128,5573712.59901091,"detected"
"731","138",18,11,"bo","Ohren","Limburg","Hessen-Nassau","j",NA,NA,NA,NA,442062.177059667,5572247.8132772,"detected"
"732","138",18,19,"cl","Walsdorf","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,448596.222265334,5568833.36979637,"detected"
"738","138",22,2,"ad","Obertiefenbach","St. Goarshausen","Hessen-Nassau","j","j","j",NA,NA,437904.098141323,5589954.19140345,"detected"
"739","138",22,15,"ar","Laufenselden","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,428294.567377663,5562841.20134233,"detected"
"741","138",22,22,"br","Niedermeilingen","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,421589.174425088,5559143.59759157,"detected"
"742","138",23,3,"br","Daisbach","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,436339.382712294,5566642.04943617,"detected"
"743","138",23,9,"ar","Hennethal","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,437232.574627102,5564385.1355439,"detected"
"744","138",23,18,"b","Breithardt","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,435569.194820887,5560746.47176839,"detected"
"745","138",23,21,"cu","Kemel","Untertaunuskreis","Hessen-Nassau",NA,NA,"j",NA,NA,429772.149397433,5557461.4255115,"detected"
"746","138",23,25,"c","Wingsbach","Untertaunuskreis","Hessen-Nassau","j","j",NA,NA,NA,439215.718436088,5557512.13145594,"detected"
"747","138",24,11,"au","Niederlibbach","Untertaunuskreis","Hessen-Nassau",NA,NA,NA,"j",NA,440860.099307719,5562152.89905398,"detected"
"748","138",24,19,"dl","Oberseelbach","Untertaunuskreis","Hessen-Nassau","j",NA,NA,NA,NA,449835.589355935,5559681.09210162,"detected"
"760","138",28,3,"ac","Zorn","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,422635.965862326,5556970.85823091,"detected"
"761","138",28,10,"ac","Springen","Untertaunuskreis","Hessen-Nassau","j","j","j",NA,NA,427425.172334503,5555068.60514662,"detected"
"762","138",28,14,"al","Dickschied","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,424730.224632899,5552993.05079078,"detected"
"763","138",28,16,"c","Ransel","Rheingau","Hessen-Nassau","j","j",NA,NA,NA,417156.07858976,5550514.08565525,"detected"
"764","138",29,3,"b","Born","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,435928.432623612,5556783.35690887,"detected"
"765","138",29,7,"d","Bad Schwalbach","Untertaunuskreis","Hessen-Nassau","j","j","j","j",NA,433552.00069579,5554688.49528672,"detected"
"766","138",29,14,"ac","Seitzenhahn","Untertaunuskreis","Hessen-Nassau","j","j","j",NA,NA,437210.925562225,5552853.83905777,"detected"
"768","138",30,4,"b","Königshofen","Main-Taunuskreis","Hessen-Nassau","j","j","j","j",NA,448956.790147546,5556631.53821737,"detected"
"771","138",30,24,"cu","Bierstadt","Wiesbaden","Hessen-Nassau",NA,"j","j",NA,NA,449889.610149896,5547938.33901048,"detected"
"774","138",33,14,"b","Lorch","Rheingau","Hessen-Nassau",NA,NA,"j",NA,NA,414258.115202853,5544209.71882125,"detected"
"780","138",34,14,"cu","Stephanshausen","Rheingau","Hessen-Nassau","j","j","j",NA,NA,424625.288123258,5543008.3300234,"detected"
"782","138",35,10,"ao","Frauenstein","Wiesbaden","Hessen-Nassau","j",NA,NA,NA,NA,439449.053341639,5545955.90445675,"detected"
"783","138",35,13,"ac","Kiedrich","Rheingau","Hessen-Nassau","j","j","j","j",NA,434151.514166221,5543594.3505124,"detected"
"785","138",35,21,"du","Oestrich","Rheingau","Hessen-Nassau","j","j","j","j",NA,430527.125906897,5539681.41611948,"detected"
"786","138",36,1,"do","Dotzheim","Wiesbaden","Hessen-Nassau",NA,"j","j","j",NA,442564.980468268,5547489.40848301,"detected"
"787","138",36,5,"bl","Igstadt","Wiesbaden","Hessen-Nassau","j","j",NA,NA,NA,452049.465194792,5547829.56968556,"detected"
"788","138",36,9,"do","Erbenheim","Wiesbaden","Hessen-Nassau","j","j","j","j",NA,450013.563736818,5545123.96569651,"detected"
"789","138",36,11,"br","Schierstein","Wiesbaden","Hessen-Nassau","j","j","j","j",NA,442806.79987767,5544673.54071148,"detected"
"792","139",1,9,"ac","Niederquembach","Wetzlar","Hessen-Nassau","j",NA,NA,NA,NA,461136.227172154,5591599.94727973,"detected"
