"","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","x","y","res"
"72","111",28,11,"bo","Ederbringhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,490630.430992414,5664212.2205094,"detected"
"73","111",28,20,"au","Frebershausen","der Eder","Hessen-Nassau","j","j",NA,"j",NA,498746.931039166,5662035.33061796,"detected"
"74","111",29,3,"bo","Mehlen","der Eder","Hessen-Nassau","j","j","j","j",NA,507348.747438513,5668101.17719192,"detected"
"75","111",29,9,"br","Anraff","der Eder","Hessen-Nassau","j","j","j","j",NA,509954.385765614,5665747.9706209,"detected"
"76","111",29,11,"ar","Gellershausen","der Eder","Hessen-Nassau","j","j",NA,NA,NA,501007.642092602,5664148.19199207,"detected"
"77","111",29,12,"cd","Albertshausen","der Eder","Hessen-Nassau","j","j","j","j",NA,503842.821573927,5662559.27919673,"detected"
"79","111",29,21,"ab","Hüddingen","der Eder","Hessen-Nassau","j","j","j",NA,NA,501365.493396611,5660456.23754496,"detected"
"80","111",29,23,"dr","Odershausen","der Eder","Hessen-Nassau","j","j","j","j",NA,507550.110590737,5659516.33632701,"detected"
"81","111",30,3,"b","Haddamar","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,518537.454762923,5667773.4688946,"detected"
"82","111",30,6,"a","Wellen","der Eder","Hessen-Nassau","j","j","j","j",NA,512353.336251279,5665942.22131659,"detected"
"83","111",30,11,"br","Mandern","der Eder","Hessen-Nassau","j","j","j",NA,NA,514045.036762788,5663789.14318822,"detected"
"84","111",30,15,"a","Obermöllrich","Fritzlar-Homberg","Hessen-Nassau",NA,"j",NA,NA,NA,522140.351314564,5664140.08499461,"detected"
"86","111",32,18,"ad","Dodenau","Frankenberg","Hessen-Nassau","j","j","j","j",NA,471483.99649146,5652605.80638025,"detected"
"87","111",32,20,"c","Battenfeld","Frankenberg","Hessen-Nassau","j","j","j","j",NA,476173.665460574,5652103.87451676,"detected"
"89","111",33,13,"a","Röddenau","Frankenberg","Hessen-Nassau","j","j","j","j",NA,482650.624623262,5655091.74792609,"detected"
"91","111",34,16,"ar","Willersdorf","Frankenberg","Hessen-Nassau",NA,"j","j","j",NA,489585.798668611,5652804.5280179,"detected"
"93","111",34,24,"c","Grüsen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,496526.71695424,5649992.85983575,"detected"
"94","111",35,7,"dl","Armsfeld","der Eder","Hessen-Nassau","j","j","j",NA,NA,504464.805152905,5655609.44068085,"detected"
"95","111",35,8,"cr","Bergfreiheit","der Eder","Hessen-Nassau","j","j",NA,NA,NA,506855.42905444,5655222.8439569,"detected"
"97","111",35,16,"bo","Battenhausen","Frankenberg","Hessen-Nassau","j","j","j","j",NA,502047.591014131,5653261.49966033,"detected"
"98","111",36,2,"c","Kerstenhausen","Fritzlar-Homberg","Hessen-Nassau",NA,NA,"j","j",NA,515121.75037402,5656964.12026914,"detected"
"100","111",36,18,"ar","Nassenerfurth","Fritzlar-Homberg","Hessen-Nassau","j","j","j",NA,NA,518136.287339017,5652581.20484065,"detected"
"101","112",1,4,"a","Hombressen","Hofgeismar","Hessen-Nassau","j",NA,NA,NA,NA,531614.223010492,5704926.93424316,"detected"
"103","112",2,3,"b","Veckerhagen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,541532.018395012,5705287.47021239,"detected"
"131","112",6,1,"a","Nesselröden","Duderstadt","Hannover","j","j","j","j",NA,577857.896803632,5653291.53077573,"detected"
"142","112",7,6,"ar","Ehrsten","Hofgeismar","Hessen-Nassau","j","j","j","j",NA,524170.166806268,5693631.19508558,"detected"
"143","112",7,9,"bo","Hohenkirchen","Hofgeismar","Hessen-Nassau","j","j","j",NA,NA,533016.75971091,5694181.25153583,"detected"
"144","112",7,12,"d","Weimar","Kassel","Hessen-Nassau","j","j","j","j",NA,527345.158788501,5690599.97282461,"detected"
"147","112",8,16,"d","Ihringshausen","Kassel","Hessen-Nassau","j","j","j","j",NA,536637.441957189,5688912.11163106,"detected"
"150","112",9,9,"dl","Blickershausen","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,555124.993873045,5692448.15316142,"detected"
"152","112",10,1,"d","Hermannrode","Witzenhausen","Hessen-Nassau","j","j",NA,NA,NA,559923.341941153,5695171.61424507,"detected"
"172","112",13,22,"b","Altenritte","Kassel","Hessen-Nassau","j","j","j","j",NA,527853.299854986,5679092.22627689,"detected"
"173","112",14,8,"co","Heiligenrode","Kassel","Hessen-Nassau","j","j",NA,NA,NA,540386.703909672,5684191.46137464,"detected"
"175","112",14,19,"b","Oberkaufungen","Kassel","Hessen-Nassau","j","j","j","j",NA,544076.001931285,5681563.84442499,"detected"
"177","112",15,5,"ao","Ellingerode","Witzenhausen","Hessen-Nassau","j",NA,NA,NA,NA,557018.552653699,5686796.64019468,"detected"
"179","112",15,6,"ao","Nieste","Kassel","Hessen-Nassau","j","j","j","j",NA,546765.565797562,5684901.96968281,"detected"
"180","112",15,22,"bu","Wickenrode","Witzenhausen","Hessen-Nassau",NA,"j",NA,"j",NA,550876.215205773,5678757.46499644,"detected"
"183","112",16,8,"bl","Oberrieden","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,564599.658237081,5684595.5893409,"detected"
"184","112",16,11,"ab","Hundelshausen","Witzenhausen","Hessen-Nassau",NA,"j","j","j",NA,559122.239399642,5682627.46882723,"detected"
"186","112",16,22,"cl","Dudenrode","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,560758.551774417,5678720.4952916,"detected"
"196","112",19,7,"dl","Besse","Fritzlar-Homberg","Hessen-Nassau","j","j","j","j",NA,526942.930903386,5674405.37970654,"detected"
"197","112",19,10,"a","Dörnhagen","Kassel","Hessen-Nassau",NA,NA,"j","j",NA,534606.145195591,5675163.0848154,"detected"
"198","112",19,19,"cu","Wolfershausen","Melsungen","Hessen-Nassau",NA,"j","j",NA,NA,531019.749175897,5670068.92936276,"detected"
"199","112",19,19,"d","Ellenberg","Melsungen","Hessen-Nassau",NA,"j","j","j",NA,532548.206153015,5670434.25607098,"detected"
"200","112",20,3,"cl","Wellerode","Kassel","Hessen-Nassau","j","j","j","j",NA,539706.153991387,5676656.91287568,"detected"
"201","112",20,10,"ab","Eschenstruth","Kassel","Hessen-Nassau",NA,NA,"j",NA,NA,546356.58524867,5675400.36290147,"detected"
"203","112",21,8,"bo","Rommerode","Witzenhausen","Hessen-Nassau","j",NA,NA,NA,NA,553557.527156014,5675937.58833728,"detected"
"204","112",21,17,"bl","Hessisch Lichtenau","Witzenhausen","Hessen-Nassau","j","j","j","j",NA,550239.670798968,5671777.88740945,"detected"
