"","X","Quadrant","Teilquadrant","Ortsnummer","Ortsbuchstaben","Ortsname","Kreis","Land","I","II","III","IV","X12","RES_1st_run","Ortsname_old","Stadt.oder.Gemeinde.oder.Landkreis","x","y","res"
"148",931,"139",20,10,"cu","Ober-Eschbach","Friedberg","Hessen","j","j","j","j",NA,"not detected","Ober Eschbach","",474985.312872227,5562494.5732518,"detected"
"149",936,"139",21,6,"ad","Ober-Erlenbach","Friedberg","Hessen","j","j","j","j",NA,"not detected","Ober Erlenbach","",477324.037174492,5563807.25731026,"detected"
"150",938,"139",21,11,"cu","Nieder-Eschbach","Friedberg","Hessen","j","j","j","j",NA,"not detected","Nieder Eschbach","",476704.879334029,5560874.50510832,"detected"
"152",950,"139",23,1,"cl","Langen-Bergheim","Büdingen","Hessen","j","j","j","j",NA,"not detected","Langenbergheim","",499857.364543195,5564715.13525225,"detected"
"153",951,"139",23,4,"bd","Hain-Gründau","Büdingen","Hessen","j",NA,NA,NA,NA,"not detected","Haingründau","",510075.591188005,5565569.72195816,"detected"
"156",972,"139",28,18,"du","Klein-Auheim","Offenbach","Hessen","j","j","j","j",NA,"not detected","Klein Auheim","",494793.304600715,5549585.01414798,"detected"
"162",998,"139",34,4,"bu","Klein-Krotzenburg","Offenbach","Hessen","j","j","j","j",NA,"not detected","Klein Krotzenburg","",497817.601954135,5547081.2313443,"detected"
"165",1014,"140",1,11,"bd","Ober-Moos","Lauterbach","Hessen","j","j","j","j",NA,"not detected","Ober Moos","",526179.504617944,5589486.79742329,"detected"
"168",1037,"140",13,1,"bl","Katholisch-Willenroth","Gelnhausen","Hessen-Nassau","j","j","j","j",NA,"not detected","Katholisch Willenroth","",525042.181656714,5574803.64070744,"detected"
"174",1061,"151",2,21,"cu","Klein-Gerau","Groß Gerau","Hessen","j","j","j","j",NA,"not detected","Klein Gerau","",465498.181899044,5529602.11143369,"detected"
"176",1067,"151",3,10,"ar","Ober-Roden","Dieburg","Hessen","j","j","j","j",NA,"not detected","Ober Roden","",487674.709877014,5536154.3321523,"detected"
"177",1069,"151",4,2,"ao","Nieder-Roden","Dieburg","Hessen","j",NA,NA,NA,NA,"not detected","Nieder Roden","",490295.11220124,5537994.616178,"detected"
"182",1099,"151",10,9,"c","Klein-Umstadt","Dieburg","Hessen","j","j","j","j",NA,"not detected","Klein Umstadt","",496013.508358546,5526535.41202237,"detected"
"187",1114,"151",13,9,"b","Stockstadt am Rhein","Groß Gerau","Hessen","j","j","j","j",NA,"not detected","Stockstadt","",461658.406054936,5517642.19232883,"detected"
"188",1116,"151",13,14,"du","Biebesheim am Rhein","Groß Gerau","Hessen","j","j","j","j",NA,"not detected","Biebesheim","",461483.210087252,5514263.40161509,"detected"
"190",1128,"151",15,2,"cl","Nieder-Ramstadt","Darmstadt","Hessen","j","j",NA,NA,NA,"not detected","Nieder Ramstadt","",478631.332318028,5519416.15679796,"detected"
"191",1129,"151",15,3,"co","Ober-Ramstadt","Darmstadt","Hessen","j","j","j","j",NA,"not detected","Ober Ramstadt","",481804.009301077,5519649.12048749,"detected"
"194",1132,"151",15,13,"ao","Nieder-Modau","Dieburg","Hessen","j","j","j","j",NA,"not detected","Niedermodau","",481152.07230067,5516260.30417776,"detected"
"195",1134,"151",15,13,"cl","Ober-Modau","Dieburg","Hessen","j","j","j","j",NA,"not detected","Obermodau","",481299.543282081,5515203.56479137,"detected"
"196",1140,"151",16,7,"bl","Ober-Klingen","Dieburg","Hessen","j",NA,NA,NA,NA,"not detected","Ober Klingen","",492070.930162949,5517322.79916337,"detected"
"197",1145,"151",16,19,"cu","Ober-Kinzig","Erbach","Hessen","j","j","j","j","Eigentlich Ober-Kinzig, auf dem Zettel aber als Oberkinzig vermerkt","not detected","Oberkinzig","",496139.905443416,5512437.53078225,"detected"
"201",1158,"151",19,5,"cu","Klein-Rohrheim","Groß Gerau","Hessen","j","j","j","j",NA,"not detected","Klein-Rohrhein","",463270.072774651,5509158.71629509,"detected"
"204",1180,"151",22,1,"b","Fränkisch-Crumbach","Dieburg","Hessen","j","j","j",NA,NA,"not detected","Fränkisch Crumbach","",489704.879819714,5510378.00529429,"detected"
"205",1181,"151",22,2,"du","Ober-Kainsbach","Erbach","Hessen","j",NA,NA,NA,NA,"not detected","Ober Kainsbach","",492900.507186333,5507982.50462291,"detected"
"208",1188,"151",22,23,"bu","Ober-Mossau","Erbach","Hessen","j",NA,NA,NA,NA,"not detected","Ober Mossau","",494610.390044615,5502421.58854814,"detected"
"209",1189,"151",23,1,"co","Bad König","Erbach","Hessen","j","j","j","j",NA,"not detected","König","",500288.185253937,5510212.56336264,"detected"
