,Quadrant,Teilquadrant,Ortsnummer,Ortsbuchstaben,Ortsname_cor,Kreis,Land,I,II,III,IV,X12,RES_1st_run,Ortsname_old,Stadt oder Gemeinde oder Landkreis
322,125,2,3,d,Holzhausen ,Biedenkopf,Hessen-Nassau,j,j,j,j,NA,not detected,Holzhausen an der Eder,Hatzfeld
347,125,8,25,ar,Caldern,Marburg,Hessen-Nassau,j,j,j,j,NA,not detected,Kaldern,
369,125,14,24,d,Nanzhausen,Marburg,Hessen-Nassau,j,j,j,j,NA,not detected,Nanzhausen,Lohra
373,125,15,18,b,Cappel,Marburg,Hessen-Nassau,j,j,j,j,NA,not detected,Kappel,
381,125,16,24,d,Nieder-Ofleiden,Alsfeld,Hessen,j,j,j,j,NA,not detected,Nieder Ofleiden,
388,125,18,8,au,Heidelbach ,Alsfeld,Hessen,j,j,j,j,NA,not detected,Heidelbach,Alsfeld
398,125,20,8,dr,Rollshausen ,Marburg,Hessen-Nassau,NA,j,j,NA,NA,not detected,Rollshausen,Lohra
407,125,21,25,a,Allendorf ,Gießen,Hessen,j,j,j,j,NA,not detected,Allendorf an der Lunda,Lumda
411,125,22,19,b,Schadenbach ,Alsfeld,Hessen,j,j,j,NA,NA,not detected,Schadenbach,Homberg
416,125,23,16,al,Büßfeld ,Alsfeld,Hessen,j,NA,NA,NA,NA,not detected,Büßfeld,Homberg
417,125,23,17,b,Nieder-Gemünden,Alsfeld,Hessen,j,j,j,j,NA,not detected,Nieder Gemünden,
422,125,24,17,bl,Nieder-Breidenbach,Alsfeld,Hessen,j,j,j,j,NA,not detected,Nieder Breidenbach,
423,125,24,18,cl,Strebendorf ,Alsfeld,Hessen,j,j,j,j,NA,not detected,Strebendorf,Romrod
438,125,27,6,c,Wißmar,Wetzlar,Hessen-Nassau,NA,j,j,j,NA,not detected,Wißmar,Wettenberg
440,125,27,13,cr,Alten-Buseck,Gießen,Hessen,j,j,j,j,NA,not detected,Alten Buseck,
443,125,27,18,au,Trohe ,Gießen,Hessen,j,j,j,j,NA,not detected,Trohe,Buseck
445,125,27,19,co,Großen-Buseck,Gießen,Hessen,j,j,j,j,NA,not detected,Großen Buseck,
461,125,29,6,bo,Nieder-Ohmen,Alsfeld,Hessen,j,j,j,j,NA,not detected,Nieder Ohmen,
465,125,29,19,ao,Ober-Ohmen,Alsfeld,Hessen,j,j,j,j,NA,not detected,Ober Ohmen,
466,125,29,20,cl,Unter-Seibertenrod,Schotten,Hessen,j,j,j,j,NA,not detected,Unter Seibertenrod,
468,125,29,25,co,Ober-Seibertenrod,Schotten,Hessen,j,NA,NA,NA,NA,not detected,Ober Seibertenrod,
482,125,32,10,au,Kleinlinden,Gießen,Hessen,j,j,j,j,NA,not detected,Klein Linden,
485,125,32,20,a,Großen-Linden,Gießen,Hessen,j,j,NA,NA,NA,not detected,Großen Linden,
499,125,34,12,dr,Ober-Bessingen,Gießen,Hessen,j,j,j,NA,NA,not detected,Ober Bessingen,
517,126,1,17,c,Großropperhausen ,Ziegenhain,Hessen-Nassau,NA,NA,j,NA,NA,not detected,Großropperhausen,Frielendorf
